"age","married","female","black","hispanic","born_us","fertyr","educ_cat","yrs_educ","masters","proffnl","doctoral","empstat","incwage","uhrswork","wkswork1","hrly_wage","ownershp","rent","trantime","hispan","race","citizen","marst","ind1990","occ1990","degfield","statefip"
49,1,1,0,0,1,0,4,16,0,0,0,1,67000,40,52,32.2115384615385,1,NA,38,0,1,1,1,831,95,62,45
49,1,1,0,0,1,0,4,16,0,0,0,1,39500,30,52,25.3205128205128,1,NA,30,0,1,1,1,60,22,62,13
34,1,0,0,1,1,NA,2,12,0,0,0,1,52000,50,52,20,2,820,30,1,1,1,1,870,436,0,6
38,0,0,0,0,1,NA,2,12,0,0,0,1,64000,50,52,24.6153846153846,1,NA,25,0,1,1,4,651,22,0,21
30,0,1,0,0,1,0,1,8,0,0,0,3,0,NA,NA,NA,2,520,NA,0,7,1,6,0,999,0,51
48,0,1,0,0,1,0,2,12,0,0,0,1,37100,40,52,17.8365384615385,1,NA,3,0,1,1,4,841,313,0,34
25,1,1,0,0,1,0,5,18,1,0,0,1,46000,30,48,31.9444444444444,1,NA,35,0,1,1,1,842,157,37,8
42,1,1,0,1,0,0,1,0,0,0,0,3,1200,80,2,7.5,2,900,NA,1,7,0,1,10,479,0,32
31,0,1,0,0,1,0,4,16,0,0,0,1,25000,40,52,12.0192307692308,1,NA,20,0,1,1,6,120,757,36,23
26,0,0,0,0,1,NA,2,12,0,0,0,1,80000,88,52,17.4825174825175,2,600,40,0,1,1,6,42,615,0,42
55,0,1,0,0,1,NA,1,10,0,0,0,3,0,NA,NA,NA,2,40,NA,0,1,1,4,0,999,0,1
31,1,0,0,1,1,NA,1,0,0,0,0,1,30000,50,52,11.5384615384615,1,NA,30,1,7,1,1,60,567,0,48
28,1,0,0,0,1,NA,5,17,0,1,0,1,15000,18,52,16.025641025641,1,NA,75,0,1,1,1,412,889,55,42
52,1,1,0,1,0,NA,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,3,1,0,1,631,243,0,34
42,1,1,0,0,1,0,5,22,0,0,1,1,104000,40,52,50,1,NA,10,0,1,1,1,711,96,48,13
42,1,0,0,0,1,NA,4,16,0,0,0,1,40900,40,40,25.5625,2,NA,NA,0,1,1,1,760,783,62,6
49,1,1,0,1,0,0,2,12,0,0,0,1,35000,47,52,14.3207855973813,1,NA,5,1,1,0,1,612,243,0,48
48,0,1,0,1,1,0,3,14,0,0,0,3,0,NA,NA,NA,1,NA,NA,1,8,1,4,0,999,0,40
48,0,0,0,0,0,NA,5,18,1,0,0,1,3e+05,60,52,96.1538461538462,2,3900,20,0,1,0,4,342,55,36,6
29,0,1,0,0,1,0,2,12,0,0,0,1,30000,40,52,14.4230769230769,1,NA,5,0,1,1,4,580,243,0,26
39,1,1,0,0,1,0,3,14,0,0,0,1,92000,40,52,44.2307692307692,1,NA,15,0,1,1,1,831,95,0,35
42,1,1,0,1,1,0,5,18,1,0,0,1,4000,35,52,NA,1,NA,12,1,1,1,1,842,156,23,32
37,0,1,0,0,1,0,4,16,0,0,0,1,24700,40,21,29.4047619047619,2,1100,45,0,8,1,4,702,7,62,32
40,0,0,0,0,1,NA,2,12,0,0,0,1,45000,50,52,17.3076923076923,2,1100,40,0,1,1,6,432,804,0,39
30,0,1,0,0,1,0,4,16,0,0,0,1,15400,40,52,7.40384615384615,1,NA,50,0,1,1,6,711,205,60,39
55,1,0,0,0,1,NA,4,16,0,0,0,1,50000,40,52,24.0384615384615,1,NA,10,0,1,1,1,710,22,62,36
27,1,0,0,0,1,NA,2,12,0,0,0,1,36000,40,52,17.3076923076923,1,NA,15,0,8,1,1,800,525,0,26
30,1,0,0,0,1,NA,3,14,0,0,0,1,18000,70,52,4.94505494505495,1,NA,5,0,1,1,1,10,473,0,36
42,1,1,0,0,1,0,4,16,0,0,0,1,20000,12,52,32.0512820512821,1,NA,5,0,1,1,1,881,23,62,18
42,0,0,0,0,1,NA,5,18,1,0,0,1,120000,35,52,65.9340659340659,2,1300,15,0,1,1,6,850,154,21,24
52,0,0,0,1,0,NA,1,9,0,0,0,1,35000,40,52,16.8269230769231,2,1600,75,1,1,0,3,621,276,0,6
33,0,0,0,1,0,NA,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,4,1,0,6,60,567,0,12
43,1,1,0,1,1,0,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,1,1,1,1,0,999,0,4
39,1,0,0,0,1,NA,5,17,0,1,0,1,50000,33,50,30.3030303030303,1,NA,NA,0,1,1,1,841,178,24,49
53,1,0,0,0,1,NA,2,12,0,0,0,1,52000,40,6,NA,1,NA,20,0,1,1,1,60,563,0,42
46,1,0,1,0,1,NA,2,12,0,0,0,1,30000,50,52,11.5384615384615,2,350,10,0,2,1,1,242,889,0,17
46,1,0,0,0,1,NA,4,16,0,0,0,1,10000,60,52,3.20512820512821,1,NA,8,0,1,1,1,842,156,36,36
39,1,1,0,0,1,0,3,14,0,0,0,1,36000,45,52,15.3846153846154,1,NA,40,0,6,1,1,772,456,0,53
43,1,0,0,0,1,NA,3,14,0,0,0,1,36000,45,52,15.3846153846154,1,NA,20,0,1,1,1,612,275,0,23
45,0,0,0,0,1,NA,2,12,0,0,0,3,0,NA,NA,NA,2,680,NA,0,1,1,6,0,999,0,51
43,0,1,0,0,1,0,3,13,0,0,0,1,30000,40,34,22.0588235294118,1,NA,25,0,1,1,4,831,316,0,47
46,1,1,0,0,1,0,5,18,1,0,0,1,17500,15,46,25.3623188405797,1,NA,45,0,1,1,1,842,104,61,29
31,0,0,1,0,1,NA,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,2,1,6,0,999,0,9
38,1,0,0,0,0,NA,4,16,0,0,0,1,61000,50,52,23.4615384615385,1,NA,45,0,1,0,1,762,22,62,25
36,0,0,0,0,1,NA,1,11,0,0,0,3,600,3,1,200,1,NA,NA,0,1,1,4,100,754,0,5
36,1,1,1,0,0,0,3,14,0,0,0,1,36000,65,52,10.6508875739645,1,NA,45,0,2,0,1,942,905,0,51
26,0,0,0,0,0,NA,5,18,1,0,0,1,25000,20,52,24.0384615384615,2,1000,15,0,4,0,6,850,154,55,42
40,1,1,0,0,1,0,3,13,0,0,0,1,55000,45,52,23.5042735042735,1,NA,45,0,1,1,1,892,376,0,31
49,1,1,0,0,1,0,5,18,1,0,0,1,2e+05,45,52,85.4700854700855,1,NA,105,0,1,1,2,732,274,24,6
48,1,1,0,0,1,0,4,16,0,0,0,1,110000,60,52,35.2564102564103,1,NA,30,0,1,1,1,700,22,62,51
54,1,0,0,0,1,NA,2,12,0,0,0,1,55000,40,52,26.4423076923077,1,NA,15,0,5,1,1,60,589,0,15
27,0,1,0,0,1,0,4,16,0,0,0,1,50000,40,52,24.0384615384615,1,NA,20,0,1,1,6,842,156,23,25
34,0,1,0,1,0,0,1,10,0,0,0,1,11200,25,52,8.61538461538461,2,810,5,4,1,0,6,762,405,0,37
41,1,0,0,1,0,NA,1,7,0,0,0,1,70000,40,52,33.6538461538462,1,NA,30,4,1,0,1,60,573,0,51
26,0,1,0,0,1,0,1,6,0,0,0,3,0,NA,NA,NA,2,800,NA,0,1,1,6,0,999,0,41
43,0,0,0,1,1,NA,2,12,0,0,0,1,30000,40,52,14.4230769230769,1,NA,142,1,8,1,6,60,869,0,6
53,1,1,0,1,0,NA,3,14,0,0,0,3,0,NA,NA,NA,2,900,NA,4,1,0,1,842,159,0,12
46,1,0,0,1,1,NA,3,13,0,0,0,1,31000,50,52,11.9230769230769,1,NA,45,2,7,1,1,550,804,0,10
43,1,1,0,0,1,0,4,16,0,0,0,1,0,40,20,NA,1,NA,NA,0,1,1,1,890,23,62,26
29,0,1,1,0,1,1,3,13,0,0,0,3,3000,35,2,42.8571428571429,1,NA,NA,0,2,1,6,741,376,0,8
38,1,1,0,1,0,0,1,8,0,0,0,1,33000,40,52,15.8653846153846,1,NA,60,1,7,0,1,322,785,0,32
47,0,1,0,0,0,0,4,16,0,0,0,1,80000,50,52,30.7692307692308,2,2600,NA,0,6,0,4,871,21,55,6
25,0,1,0,0,1,0,3,14,0,0,0,1,42000,40,52,20.1923076923077,2,1300,15,0,1,1,6,651,243,0,27
34,1,1,0,0,1,0,4,16,0,0,0,1,41000,40,52,19.7115384615385,1,NA,20,0,1,1,1,831,319,62,19
52,0,0,0,0,1,NA,2,12,0,0,0,1,20800,48,52,8.33333333333333,2,2700,10,0,1,1,4,410,804,0,39
25,0,1,0,0,1,0,2,12,0,0,0,1,10400,20,52,10,1,NA,5,0,1,1,6,762,405,0,50
40,1,1,0,0,1,0,2,12,0,0,0,1,39500,40,52,18.9903846153846,1,NA,NA,0,1,1,1,890,375,0,47
34,1,0,0,0,0,NA,2,12,0,0,0,1,40700,42,46,21.0662525879917,2,1500,30,0,4,0,1,641,436,0,36
44,1,1,0,0,1,0,3,13,0,0,0,1,45000,30,52,28.8461538461538,1,NA,45,0,1,1,1,512,336,0,39
54,1,0,0,0,0,NA,3,13,0,0,0,1,60000,40,46,32.6086956521739,1,NA,25,0,6,0,1,732,64,0,6
46,0,0,0,0,1,NA,2,12,0,0,0,3,0,NA,NA,NA,2,680,NA,0,1,1,4,0,999,0,36
38,1,0,0,1,1,NA,2,12,0,0,0,1,60000,50,52,23.0769230769231,1,NA,45,3,8,1,1,722,455,0,12
36,1,0,0,0,0,NA,2,12,0,0,0,1,0,40,52,NA,1,NA,NA,0,1,0,1,410,359,0,41
30,0,1,0,0,1,0,3,13,0,0,0,1,60000,82,52,14.0712945590994,2,950,30,0,1,1,6,122,779,0,25
39,0,1,0,0,1,0,5,18,1,0,0,2,0,NA,NA,NA,1,NA,NA,0,1,1,4,992,991,53,48
40,0,1,0,0,1,0,3,14,0,0,0,1,20000,38,52,10.1214574898785,1,NA,30,0,1,1,4,890,23,0,39
36,0,0,0,0,1,NA,3,14,0,0,0,1,65000,55,52,22.7272727272727,2,930,20,0,1,1,6,20,243,0,19
46,0,1,0,0,1,0,3,14,0,0,0,1,45000,40,52,21.6346153846154,2,100,NA,0,1,1,6,691,64,0,29
35,0,1,1,0,1,0,2,12,0,0,0,1,48000,40,52,23.0769230769231,2,790,30,0,2,1,4,411,889,0,1
45,0,1,1,0,1,0,3,13,0,0,0,1,38900,40,52,18.7019230769231,1,NA,30,0,2,1,4,181,22,0,34
46,1,1,0,0,1,0,2,12,0,0,0,2,0,40,40,NA,1,NA,NA,0,1,1,1,791,458,0,48
25,1,1,0,0,1,0,2,12,0,0,0,1,24000,40,52,11.5384615384615,1,NA,15,0,1,1,1,151,376,0,47
54,1,1,0,0,1,NA,5,18,1,0,0,1,0,30,40,NA,1,NA,NA,0,1,1,1,662,666,23,56
41,0,0,0,0,1,NA,4,16,0,0,0,1,120000,48,52,48.0769230769231,1,NA,NA,0,1,1,6,580,303,14,17
26,1,1,0,0,1,0,2,12,0,0,0,2,180000,50,40,90,1,NA,NA,0,1,1,1,682,26,0,13
45,1,1,0,0,1,0,1,9,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,1,1,1,0,999,0,13
42,1,1,0,0,0,0,5,17,0,1,0,1,5000,25,52,3.84615384615385,1,NA,100,0,6,0,1,842,156,29,36
46,0,1,0,0,1,0,4,16,0,0,0,1,80000,40,52,38.4615384615385,1,NA,30,0,1,1,4,901,22,13,27
46,1,0,0,0,1,NA,5,18,1,0,0,1,120000,50,52,46.1538461538462,2,3300,20,0,1,1,1,932,22,21,12
49,1,0,0,0,1,NA,3,14,0,0,0,1,56000,60,52,17.9487179487179,1,NA,15,0,1,1,1,560,804,0,56
26,1,1,0,0,1,1,3,13,0,0,0,3,0,NA,NA,NA,2,1500,NA,0,1,1,1,842,319,0,48
26,1,1,0,0,1,0,4,16,0,0,0,1,30000,40,52,14.4230769230769,2,900,15,0,1,1,1,820,313,19,55
45,0,1,0,0,1,0,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,1,1,6,0,999,0,12
45,0,1,0,0,1,0,4,16,0,0,0,1,60000,40,40,37.5,2,870,30,0,1,1,4,870,174,61,39
51,1,1,0,1,1,NA,3,13,0,0,0,1,75000,50,52,28.8461538461538,1,NA,50,2,1,1,1,710,22,0,36
30,1,0,0,1,0,NA,1,11,0,0,0,1,60000,40,52,28.8461538461538,1,NA,30,1,1,0,1,60,558,0,6
34,1,0,1,0,0,NA,3,14,0,0,0,1,20000,40,48,10.4166666666667,1,NA,15,0,2,0,1,741,274,0,12
50,0,0,1,0,1,NA,3,13,0,0,0,1,75000,40,52,36.0576923076923,1,NA,157,0,2,1,3,192,779,0,37
31,0,1,0,1,1,0,1,0,0,0,0,1,34300,40,52,16.4903846153846,2,1000,30,1,7,1,6,212,799,0,6
39,1,0,1,0,1,NA,2,12,0,0,0,1,65000,40,52,31.25,1,NA,12,0,2,1,1,392,779,0,18
35,0,1,0,0,1,0,5,18,1,0,0,1,38000,60,32,19.7916666666667,1,NA,35,0,1,1,3,842,156,23,17
25,0,1,0,1,1,0,2,12,0,0,0,1,1000,8,52,NA,2,1100,15,1,1,1,6,591,243,0,48
53,0,1,0,1,1,NA,2,12,0,0,0,1,0,40,52,NA,2,750,30,1,1,1,6,812,319,0,20
44,0,1,0,0,1,0,2,12,0,0,0,1,38000,36,52,20.2991452991453,1,NA,35,0,1,1,4,820,445,0,47
47,1,0,1,0,1,NA,3,13,0,0,0,1,52000,40,52,25,1,NA,12,0,2,1,1,270,759,0,42
31,1,1,0,0,1,0,3,14,0,0,0,1,55000,45,52,23.5042735042735,2,NA,30,0,1,1,1,741,95,0,29
33,0,0,1,0,1,NA,3,13,0,0,0,1,50000,45,52,21.3675213675214,2,2000,40,0,2,1,6,612,887,0,48
51,1,0,0,0,1,NA,5,18,1,0,0,1,75000,50,52,28.8461538461538,1,NA,15,0,1,1,1,842,14,64,48
55,1,0,0,0,1,NA,2,12,0,0,0,1,45000,50,52,17.3076923076923,1,NA,35,0,1,1,1,60,22,0,41
54,0,0,0,0,1,NA,2,12,0,0,0,1,80000,60,52,25.6410256410256,1,NA,30,0,1,1,4,351,637,0,39
33,1,0,0,1,0,NA,2,12,0,0,0,1,18000,40,52,8.65384615384615,2,1100,10,1,1,0,1,601,444,0,12
50,1,1,1,0,0,0,3,14,0,0,0,1,19000,36,52,10.1495726495726,2,1200,18,0,2,0,1,840,207,0,42
35,0,0,0,0,1,NA,4,16,0,0,0,1,205000,60,52,65.7051282051282,2,3500,10,0,1,1,6,741,229,21,6
26,0,0,0,0,1,NA,4,16,0,0,0,1,30000,40,52,14.4230769230769,1,NA,20,0,1,1,6,901,234,55,24
39,1,1,0,0,1,0,3,14,0,0,0,1,32700,40,52,15.7211538461538,1,NA,30,0,1,1,1,663,365,0,48
28,0,0,0,1,1,NA,5,22,0,0,1,1,170000,40,52,81.7307692307692,1,NA,30,4,7,1,6,711,243,52,36
52,1,1,0,0,1,NA,3,13,0,0,0,3,0,NA,NA,NA,2,3400,NA,0,1,1,1,0,999,0,6
35,1,0,0,0,1,NA,4,16,0,0,0,1,145000,45,52,61.965811965812,1,NA,15,0,1,1,1,892,22,24,13
31,0,0,1,0,1,NA,3,13,0,0,0,1,30000,40,52,14.4230769230769,2,600,15,0,2,1,6,151,736,0,21
54,1,0,0,0,0,NA,4,16,0,0,0,1,137000,50,52,52.6923076923077,1,NA,10,0,6,0,1,882,22,24,6
52,0,0,0,0,1,NA,1,9,0,0,0,1,0,80,52,NA,2,1400,35,0,8,1,6,741,185,0,8
25,0,1,0,0,1,0,2,12,0,0,0,1,12000,32,52,7.21153846153846,1,NA,20,0,1,1,6,771,748,0,33
45,0,0,0,0,1,NA,2,12,0,0,0,1,36400,40,52,17.5,1,NA,22,0,1,1,6,712,64,0,9
32,0,0,0,0,1,NA,2,12,0,0,0,1,52000,40,52,25,2,690,40,0,1,1,4,250,779,0,51
36,1,1,0,0,1,0,5,18,1,0,0,1,40000,40,52,19.2307692307692,1,NA,30,0,1,1,1,842,14,23,39
54,1,1,0,0,1,NA,3,14,0,0,0,1,38000,40,52,18.2692307692308,1,NA,30,0,1,1,1,840,206,0,18
28,0,1,0,0,1,0,5,18,1,0,0,1,20000,30,52,12.8205128205128,2,980,25,0,1,1,6,682,208,26,35
36,1,1,0,0,1,0,3,13,0,0,0,1,45000,40,52,21.6346153846154,1,NA,5,0,1,1,1,700,7,0,1
50,1,1,1,0,0,0,4,16,0,0,0,1,93000,40,52,44.7115384615385,1,NA,7,0,2,0,1,910,418,53,12
53,1,0,0,0,1,NA,4,16,0,0,0,1,21800,36,52,11.6452991452991,1,NA,10,0,1,1,1,402,809,62,47
43,1,0,0,0,1,NA,4,16,0,0,0,1,155000,40,52,74.5192307692308,1,NA,12,0,6,1,1,741,628,24,6
49,1,0,1,0,1,NA,5,18,1,0,0,1,112000,40,52,53.8461538461538,1,NA,30,0,2,1,1,441,22,55,53
28,1,1,0,0,1,0,4,16,0,0,0,1,2900,8,45,8.05555555555556,1,NA,NA,0,1,1,1,842,157,19,49
36,1,0,0,0,1,NA,3,13,0,0,0,1,70000,40,52,33.6538461538462,1,NA,25,0,1,1,1,910,418,0,48
51,0,1,0,0,1,NA,3,14,0,0,0,1,72000,37,52,37.4220374220374,1,NA,2,0,1,1,5,841,64,0,9
42,1,1,0,0,0,0,4,16,0,0,0,1,5000,24,52,4.00641025641026,1,NA,30,0,6,0,1,772,458,21,36
37,0,0,0,0,1,NA,2,12,0,0,0,3,0,NA,NA,NA,2,NA,NA,0,1,1,6,0,999,0,36
32,1,0,0,1,0,NA,1,0,0,0,0,1,20000,40,52,9.61538461538461,1,NA,15,1,1,0,1,60,567,0,48
49,1,1,0,0,1,0,4,16,0,0,0,1,125000,50,52,48.0769230769231,1,NA,NA,0,1,1,1,732,22,62,6
44,1,0,0,0,1,NA,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,1,1,1,0,999,0,26
50,1,0,0,0,1,NA,4,16,0,0,0,1,120000,50,52,46.1538461538462,1,NA,5,0,1,1,1,710,64,33,25
48,1,1,0,0,1,0,5,18,1,0,0,1,60000,30,52,38.4615384615385,1,NA,1,0,1,1,1,60,337,23,21
35,1,1,0,0,1,0,2,12,0,0,0,1,70000,45,52,29.9145299145299,1,NA,5,0,1,1,1,612,503,0,9
28,0,1,0,0,1,0,4,16,0,0,0,1,110000,60,52,35.2564102564103,2,1900,45,0,1,1,6,362,44,24,6
33,1,0,0,0,1,NA,5,18,1,0,0,1,180000,40,52,86.5384615384615,1,NA,NA,0,6,1,1,831,4,64,6
49,1,1,0,0,0,0,4,16,0,0,0,1,15000,25,20,30,1,NA,15,0,1,0,1,682,275,19,53
40,0,0,0,0,1,NA,4,16,0,0,0,1,571000,50,52,NA,1,NA,5,0,1,1,4,700,25,62,6
27,0,0,0,0,1,NA,3,13,0,0,0,1,300,40,2,3.75,1,NA,22,0,1,1,6,762,317,0,36
54,1,1,0,0,1,NA,5,18,1,0,0,1,0,25,52,NA,1,NA,10,0,1,1,1,840,167,52,29
47,0,0,0,0,0,NA,4,16,0,0,0,1,150000,40,52,72.1153846153846,1,NA,15,0,6,0,4,832,95,61,6
26,0,0,0,1,0,NA,4,16,0,0,0,1,72000,50,52,27.6923076923077,2,1400,20,4,1,0,6,842,157,36,48
54,0,1,0,0,1,NA,3,13,0,0,0,1,51000,40,52,24.5192307692308,1,NA,5,0,1,1,4,850,64,0,18
29,0,0,1,0,1,NA,3,13,0,0,0,1,67000,45,52,28.6324786324786,2,600,10,0,2,1,6,60,558,0,48
43,1,0,0,0,1,NA,3,13,0,0,0,1,78000,40,52,37.5,1,NA,10,0,1,1,1,20,486,0,36
36,0,1,0,1,1,0,3,13,0,0,0,1,22800,35,52,12.5274725274725,2,1600,10,1,7,1,3,842,159,0,6
35,1,1,0,0,1,0,4,16,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,1,1,1,831,678,62,53
41,1,0,0,1,0,NA,2,12,0,0,0,1,47000,40,52,22.5961538461538,1,NA,20,4,1,0,1,663,889,0,17
31,0,1,1,0,1,0,2,12,0,0,0,1,31200,40,52,15,2,780,24,0,2,1,6,762,243,0,12
35,1,1,0,0,1,0,4,16,0,0,0,1,30000,50,52,11.5384615384615,1,NA,25,0,1,1,1,842,156,23,29
49,0,0,0,0,1,NA,2,12,0,0,0,1,0,60,52,NA,1,NA,20,0,1,1,6,410,804,0,55
49,0,1,1,0,1,0,2,12,0,0,0,3,0,NA,NA,NA,2,250,NA,0,2,1,6,0,999,0,13
47,1,1,0,0,1,0,2,12,0,0,0,1,95000,50,52,36.5384615384615,1,NA,25,0,1,1,1,722,303,0,48
49,0,0,0,0,1,NA,3,14,0,0,0,1,18800,35,52,10.3296703296703,1,NA,10,0,1,1,6,642,628,0,28
47,1,0,0,1,0,NA,1,6,0,0,0,1,48000,45,52,20.5128205128205,1,NA,60,1,7,0,1,111,779,0,27
33,0,1,0,0,1,0,5,17,0,1,0,1,65000,24,52,52.0833333333333,2,2600,30,0,1,1,6,831,95,29,25
34,1,0,0,0,1,NA,4,16,0,0,0,1,65000,48,52,26.0416666666667,1,NA,60,0,1,1,1,910,417,19,8
42,1,1,0,0,0,0,4,16,0,0,0,1,110000,36,52,58.7606837606838,1,NA,45,0,6,0,1,831,95,61,53
